   6524 2020-05-27 15
  13365 2020-05-27 16
  11712 2020-05-27 17
  11303 2020-05-27 18
  11744 2020-05-27 19
  15962 2020-05-27 20
  12721 2020-05-27 21
  11858 2020-05-27 22
  15053 2020-05-27 23
  13025 2020-05-28 00
  11687 2020-05-28 01
  11837 2020-05-28 02
  26050 2020-05-28 03
  22617 2020-05-28 04
  14636 2020-05-28 05
  10491 2020-05-28 06
   7659 2020-05-28 07
   6345 2020-05-28 08
   6989 2020-05-28 09
  11596 2020-05-28 10
  18544 2020-05-28 11
  23067 2020-05-28 12
  25505 2020-05-28 13
  22965 2020-05-28 14
  17053 2020-05-28 15
  22627 2020-05-28 16
  34521 2020-05-28 17
  26647 2020-05-28 18
  24501 2020-05-28 19
  26446 2020-05-28 20
  24903 2020-05-28 21
  20066 2020-05-28 22
  16591 2020-05-28 23
  16997 2020-05-29 00
  15262 2020-05-29 01
  11534 2020-05-29 02
   9525 2020-05-29 03
   6496 2020-05-29 04
  12145 2020-05-29 05
  12953 2020-05-29 06
  11518 2020-05-29 07
   9836 2020-05-29 08
   7695 2020-05-29 09
   8396 2020-05-29 10
  12543 2020-05-29 11
  25045 2020-05-29 12
  30899 2020-05-29 13
  34207 2020-05-29 14
  30101 2020-05-29 15
  23671 2020-05-29 16
  18130 2020-05-29 17
  14699 2020-05-29 18
  10861 2020-05-29 19
  11877 2020-05-29 20
  10430 2020-05-29 21
   8362 2020-05-29 22
   6934 2020-05-29 23
   5777 2020-05-30 00
   5719 2020-05-30 01
   5674 2020-05-30 02
   4866 2020-05-30 03
   4016 2020-05-30 04
   3087 2020-05-30 05
   2334 2020-05-30 06
   2185 2020-05-30 07
   1712 2020-05-30 08
   1704 2020-05-30 09
   1774 2020-05-30 10
   2380 2020-05-30 11
   2520 2020-05-30 12
   4068 2020-05-30 13
   4265 2020-05-30 14
   4252 2020-05-30 15
   5445 2020-05-30 16
   5044 2020-05-30 17
   4211 2020-05-30 18
   4934 2020-05-30 19
   5494 2020-05-30 20
   4076 2020-05-30 21
   3565 2020-05-30 22
   3631 2020-05-30 23
   2918 2020-05-31 00
   2864 2020-05-31 01
   2705 2020-05-31 02
   3157 2020-05-31 03
   3892 2020-05-31 04
   2780 2020-05-31 05
   1942 2020-05-31 06
   1606 2020-05-31 07
   1365 2020-05-31 08
   2563 2020-05-31 09
   3672 2020-05-31 10
   3168 2020-05-31 11
   3048 2020-05-31 12
   4423 2020-05-31 13
   5325 2020-05-31 14
   4756 2020-05-31 15
   6377 2020-05-31 16
   6946 2020-05-31 17
   7146 2020-05-31 18
   9151 2020-05-31 19
   7816 2020-05-31 20
  10201 2020-05-31 21
   8175 2020-05-31 22
   6284 2020-05-31 23
   4795 2020-06-01 00
   4292 2020-06-01 01
   3440 2020-06-01 02
   3064 2020-06-01 03
   2725 2020-06-01 04
   2686 2020-06-01 05
   1799 2020-06-01 06
   1595 2020-06-01 07
   1247 2020-06-01 08
   1180 2020-06-01 09
   1280 2020-06-01 10
   1955 2020-06-01 11
   2029 2020-06-01 12
   2242 2020-06-01 13
   2855 2020-06-01 14
   2760 2020-06-01 15
   2663 2020-06-01 16
   2510 2020-06-01 17
   3502 2020-06-01 18
   3015 2020-06-01 19
   2851 2020-06-01 20
   3191 2020-06-01 21
   3207 2020-06-01 22
   2557 2020-06-01 23
   2214 2020-06-02 00
  10913 2020-06-02 01
   6764 2020-06-02 02
   5136 2020-06-02 03
   3786 2020-06-02 04
   2788 2020-06-02 05
   2563 2020-06-02 06
   2019 2020-06-02 07
   1614 2020-06-02 08
   1728 2020-06-02 09
   1202 2020-06-02 10
