retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
RescueKids4Ever,EricTrump,10916,77223,53571
PanemEtCircen12,EricTrump,10917,73899,53571
Lucy24Smith,EricTrump,10917,47139,53571
running2fit,MemoAbboud,49121,76440,26887
Blessed5xs1,EliseStefanik,59166,48574,29674
HuajatollaChic,thinblueliner,113,40816,63682
frnklns4k,yesnicksearcy,108,74244,61410
Kari091261,EricTrump,10918,56089,53571
PeteGilio,morningmika,10107,12630,51301
PetraLe65511145,morningmika,9364,43574,52045
odcusa,EricTrump,10919,58381,53571
MartinStarshine,TrumpGirlStrong,11423,1123,41140
gilman_don,morningmika,10110,68074,51301
ScheyChris,TheRealJLZ,46232,81760,38306
CatDowdy,DonaldJTrumpJr,13954,62618,51975
raralal89598275,morningmika,10110,8259,51301
kirkpaulsen,morningmika,9806,77366,51606
noway_nohow7,DonaldJTrumpJr,13955,63072,51975
running2fit,MemoAbboud,49012,76445,27001
SpazzRas,EricTrump,10922,64416,53571
JiveBunnyMuzik,Gibson4NYS,12847,8869,39440
goodoggy7,Liz_Wheeler,48960,72845,22683
Jorgeknows,morningmika,9807,5437,51606
ace22maya48,Liz_Wheeler,48961,7942,22683
AndersonAlamo,DonaldJTrumpJr,13957,7010,51975
Zombiebat2,LoveMyCymba,382,80987,68225
LeJack16,morningmika,68616,74312,79198
DaveTwaterfield,SebGorka,165,38656,210
upfitwriter,morningmika,10114,79742,51301
Rebecca17761,DepolableDuck,9323,18093,74106
Stephe96,SebGorka,165,41187,210
felipuppy,morningmika,10115,1714,51301
b7868255,Liz_Wheeler,48963,58536,22683
lulubell2141,DonaldJTrumpJr,13959,60190,51975
DavidMo03287192,DonaldJTrumpJr,13960,508,51975
rabbithole59,SunflowerSoul71,6139,45252,66231
running2fit,whenindoubtepo,48367,76450,80656
Steerpike18,morningmika,10116,25042,51301
andyguzik,timheidecker,46387,42556,39533
verticalrepeat,RoydYure,3768,70952,24959
SJ4TRUMP,SamSpad47552669,1402,82757,79295
sayno2trump775,BonniBK,8090,49994,35539
Calloutfortruth,DonaldJTrumpJr,13961,37558,51975
sam_sly_t,socalaura,3758,1913,40194
DoneWithDems53,almostjingo,718,66485,8945
FreedomsWall,superyayadize,21123,4555,38389
LindaJSmith10,AngelHe33778004,85249,58151,45194
commonsense258,PoliticalShort,1843,5369,52492
LUSKER29,KC593,10857,54695,57888
jsclady,DonaldJTrumpJr,13964,41439,51975
patsdunc,soloyochapin,4154,46832,54003
lovetotravel960,almostjingo,720,68270,8945
JohnnyLeeRandel,DonaldJTrumpJr,13964,3076,51975
S2000Art,SebGorka,172,21488,210
running2fit,GOPPollAnalyst,42979,76455,49126
cforse1500,EricTrump,10932,6417,53571
AmericaResists,morningmika,10121,74561,51301
LoriSmi30432841,EricTrump,10933,14347,53571
prime_bee,DanielNewman,6796,83157,42856
TreaderThe,DonaldJTrumpJr,13966,71752,51975
PPatriot007,marabutler67,4207,14815,5476
Gamer_1745,SebGorka,173,86250,210
ssmunsell,morningmika,10123,58774,51301
OmiTrudy,SebGorka,174,45487,210
joshjsdm,morningmika,10124,3807,51301
GiarmoNancy,Gibson4NYS,12859,46124,39440
miss_jonie,IAmDeplorable70,1123,53558,83200
nanluvsmatt,EricTrump,10936,74334,53571
AzlawgirlT,morningmika,10125,59846,51301
proudmaryc,morningmika,10125,56533,51301
suzmw03,cvpayne,50909,55299,32849
TreTaliesin,DonaldJTrumpJr,13970,61932,51975
KikoPeres,sparkledocawake,3200,5905,2974
rabbithole59,TeaRocckanova,7390,45262,42515
cindyt47,DanielNewman,6800,64876,42856
DaCovfefe,jimsand1718,163,40092,73083
ArdentAmerican,almostjingo,727,83214,8945
running2fit,2Joubert,18439,76461,59338
freedom31774186,DonaldJTrumpJr,13971,31803,51975
gilman_don,morningmika,9822,68091,51606
G67Nomad,EricTrump,10939,76711,53571
cdub5041,EricTrump,10939,52410,53571
cvknudsen,morningmika,9384,1877,52045
CharlaD14,sparkledocawake,3203,60067,2974
JimjamMorgan,Liz_Wheeler,48977,84294,22683
TheMDesk,morningmika,10129,4793,51301
edunwody,morningmika,9824,68097,51606
scottsimmerman,OshetJimmy,650,72151,76627
running2fit,Margare14571757,46692,76464,83825
ljholroyd,TheGoodLiars,75023,39775,13036
StogieMcGruff,morningmika,9826,69593,51606
Dist_5,martinchoinksi,3359,58356,48072
ginnybeast4,EliseStefanik,59191,50998,29674
DirkK_USA,EricTrump,10942,32798,53571
rabbithole59,KMC4wauk,7693,45267,41140
maxmeems,SebGorka,183,45489,210
