retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
kimba060764,Liz_Wheeler,52663,4328,22683
Tru_rises_alt,WeAreTheWolves6,62541,69168,51516
JunebugBeaux,almostjingo,4416,48875,8945
forpetessakeny,EricTrump,14627,77955,53571
DaBearsGurl32,morningmika,13512,276,51606
Zeplus88,DanielNewman,10492,4113,42856
di_plora,SmashingAmps,83,10544,71452
rick_maddox,EricTrump,14630,59638,53571
SmallBiz4Trump,DTCahill,5597,10850,76831
edinssister,EricTrump,14631,46236,53571
LehRiver,morningmika,13515,34424,51606
randyallran,PoliticalShort,5544,2232,52492
TogetherMakeChg,DonaldJTrumpJr,17665,66625,51975
SherryBownvoice,EricTrump,14633,81103,53571
PowderPtBridge,441Deedee,52929,74483,10655
JCTRamblerINC,MiriamVince,61719,68358,3583
ladydshops,DTCahill,5601,5108,76831
JulieKaiee,EricTrump,14634,79036,53571
cindyinSA08,808AlohaGirl,933,56727,31604
Prudent11,manfishlegend,13537,73479,46444
CarlyleBlkwl18,kazweida,567,1803,43087
_AsAboveSoBelow,morningmika,13519,57725,51606
MissusRechner,morningmika,13825,64301,51301
gary_reinhold,LAnglicke,70001,58887,16149
AndreaMatthews9,cleanwatr,5171,60071,76555
corkyengel,SebGorka,7388,59906,83099
bdcook525,EricTrump,14637,53439,53571
Brownscrossing7,just0sand1s,51944,42842,60772
serr8d,CaneInsane,54477,9780,27783
Casey_Gionakis,EliseStefanik,62887,52871,29674
bigdjohnsonn1,Mia78262925,6779,68309,54089
OpokuAmma,morningmika,13523,7444,51606
EichBomb,CaneInsane,54478,3398,27783
chief_freddyc,DonaldJTrumpJr,17673,39643,51975
BlancoDiablo63,EliseStefanik,62890,31379,29674
ThomasS37982821,TheCosmicSense,4009,52805,58328
NewETSJ,morningmika,13087,66248,52045
RKalisher,morningmika,13832,10347,51301
RosanneTMa,morningmika,13832,7585,51301
LonWalters,PoliticalShort,5558,64066,52492
Alt1J,EricTrump,14645,62700,53571
CrownPointJR1,EricTrump,14647,2358,53571
rollins_rusty,DonaldJTrumpJr,17681,60460,51975
Linda_WCovfefe,DonaldJTrumpJr,17681,1736,51975
TozyTerry,corynye,6939,36777,45854
AustinsLinda,morningmika,13838,57659,51301
AndrewJacksonV3,DonaldJTrumpJr,17682,58411,51975
DTCahill,DTCahill,5617,82448,76831
cmccbyfaith,4evanyr,16056,66701,38525
Slew19508857,Liz_Wheeler,52689,67652,22683
Oxco01,steven0938,20106,17166,48140
donna57259304,DonaldJTrumpJr,17686,3786,51975
Cathyj1662,morningmika,13843,66025,51301
rsmiley11c,morningmika,72346,3992,79198
Princes63000366,cashbrittany23,1536,10070,24327
hisstarsandsky,morningmika,13844,78141,51301
LeslieSawyer17,TheSheilaG2020,4163,48674,68397
joshuacrime,DanielNewman,10519,32066,42856
fareeedah_yusuf,DonaldJTrumpJr,17689,28343,51975
JannyAnny,EliseStefanik,62905,79262,29674
bobschaefer13,EliseStefanik,62906,52490,29674
jojol43263060,cvpayne,54630,54402,32849
AdrianeKelly17,deanomight1,14587,7394,13121
AshbySebol,EricTrump,14658,56642,53571
mommycrystalcat,Apri1nParis,2119,75115,77965
HughMungusMGTOW,PamelaGeller,19241,82311,32297
ZadeSmith4,EricTrump,14659,8131,53571
jaldth,DonaldJTrumpJr,17692,53706,51975
vanessabitting,JustListening21,6423,50278,41605
keenanamaya,EricTrump,14661,48156,53571
amrein_karen,morningmika,13545,48727,51606
followQuk,JustListening21,6426,8847,41605
ewgalloway,morningmika,13546,13467,51606
BenWieler,Liz_Wheeler,52700,38418,22683
cogitarus,EricTrump,14664,37152,53571
curry24,Cocofritz,48548,9222,30704
ehmari2,TalbertSwan,7831,72713,67399
MrSchismatist,kazweida,597,76744,43087
vanessabitting,SantaSurfing,2875,50284,77561
Oxco01,Sheburn118,50308,17179,22436
cristiny1,CornPopBlues,242,62119,49388
PropositionJoe0,Being_circuit,896,83463,5456
lindamac12steps,JamesS020770,561,9282,65445
Miraj95916492,CellecV,1321,31058,64303
plezurluvr,TrumpOnDrugs,543,82003,52596
IanLanouette,DonaldJTrumpJr,17701,65220,51975
SteveTarantino1,PoliticalShort,5581,12583,52492
lynnellen516,SebGorka,3908,12239,210
R_Syv,LisaWoolhouse,11339,6073,33894
Romie551,RawStory,40185,30999,61245
DecosterGina,Liz_Wheeler,52707,77604,22683
TorosSahakian,Liz_Wheeler,52708,74871,22683
MissusRechner,morningmika,13556,64337,51606
BakerSonPeekay,EricTrump,14672,51259,53571
DaveHessenius,morningmika,13861,4118,51301
JudgeFudge5,zzxyxy,6814,65955,49687
ShirleyRinguet5,SmashingAmps,125,61177,71452
Andrea28105964,morningmika,13556,4172,51606
KatjeriKathy,morningmika,13862,80057,51301
ehmari2,RoydYure,7513,72721,24959
HoToddi,inthecopa,62387,27298,72543
DanFortin2,davidmweissman,15337,68479,86063
jimtom455,jimtom455,234,76790,76556
Esoteric02,cvpayne,54646,4894,32849
mtjmr,morningmika,13863,37712,51301
CryMeAR76011668,TheRealJLZ,49986,56756,38306
shekharrv,rahulroushan,3464,42564,70926
dontcavitate,SCaterinicchio,63777,57330,20404
SheriAlba,DonaldJTrumpJr,17710,75180,51975
SusieZlatunich,morningmika,13561,80316,51606
RhondaJonesLevy,morningmika,13561,66917,51606
pattypooh19,catturd2,68465,9191,16104
morahan_cynthia,Sensata2014,11262,2928,73253
Grummpyoldfart,Pumpkin_x8,1464,73196,69716
ArmyofGod77,EricTrump,14679,33858,53571
RU486ingFascism,morningmika,13868,17018,51301
iamdenajo,PoliticalShort,5592,144,52492
mitch61nm,BonniBK,11842,61202,35539
CryMeAR76011668,chastain_marty,51834,56761,45394
Dreamweaver2000,Junkyard_D,3485,68234,79215
jddreno,morningmika,13870,61844,51301
PDX_it_guy,kristilade,14795,68784,63724
N7IRL,gerryconway,2389,26576,1697
SkineyW,TheFineTruth,3122,47385,65553
Eli27611919,racingpartsale,68161,1706,28818
Ragspray,DonaldJTrumpJr,17717,52188,51975
ThPatriotHerald,morningmika,13873,32359,51301
majority_t,morningmika,13569,11567,51606
HighPlainsView,Liz_Wheeler,52722,35535,22683
CreechBk,lucindalowe,47559,18513,5362
NotADirtyDem,TozyTerry,150,32623,36665
majority_t,DownHomeWoman,294,11569,9576
Luca42755,SmashingAmps,140,68085,71452
salmachoudhury,morningmika,13571,69110,51606
nullagh,SebGorka,7439,70148,83099
FitzwaterMegan,DonaldJTrumpJr,17722,77265,51975
ljpelfrey,EricTrump,14689,49283,53571
JamesonHalpern,EricTrump,14690,39821,53571
A_Plague_Doctor,BegsAli93,881,7397,64977
avamazlany,Baby50s,14647,41409,61051
evalderrama1980,morningmika,13574,85478,51606
Colleen0707,SebGorka,3930,70371,210
HollyBretired,Relic_USA,32908,71195,51580
CryMeAR76011668,HPfrehm,41124,56771,21985
listener_t,Liz_Wheeler,52728,10116,22683
SugarDa50066131,Liz_Wheeler,52729,74540,22683
IIBulat,RMisanthropy,17617,66096,14407
dorothyfhernan1,morningmika,13137,45393,52045
Deniseb65028372,PoliticalShort,6235,79228,51863
Cathy789,morningmika,13883,1169,51301
IIBulat,DonaldJTrumpJr,17727,66098,51975
SammyjJean,kazweida,626,60457,43087
jangelguzman_,morningmika,13883,9949,51301
mathewi,WillOremus,865,43844,43331
gkjksw,morningmika,13884,65625,51301
awsedr8,DonaldJTrumpJr,17728,20183,51975
sue_bdg,morningmika,13579,52575,51606
BethStrohSTL,morningmika,13885,68171,51301
forexbomb,PoliticalShort,5610,51931,52492
MastergrowerU,morningmika,13888,61653,51301
shoofrey,morningmika,13583,80954,51606
SassySorcha,DonaldJTrumpJr,17732,10362,51975
jerredletellier,morningmika,13889,50536,51301
Claudia78394415,morningmika,13890,17129,51301
Ronin1021,BernardKerik,45258,51698,42509
iamTommieIngram,morningmika,13148,2575,52045
CryMeAR76011668,alimhaider,45682,56784,71058
sawin_lonelle,davidmweissman,78406,64322,23025
Ferndua,SebGorka,3945,6778,210
kellycorfe,kazweida,638,42540,43087
CryMeAR76011668,IMSavvy,36413,56787,20339
DResp3qqa,EricTrump,14706,5307,53571
KIMPY123,morningmika,13151,82887,52045
LovesDianna,3Rdxa,1377,74819,64965
JohnSmi02590522,SmashingAmps,161,53457,71452
AlexJTudor,LaurieHosken,64742,63479,57771
ricky_schrader,SebGorka,7461,59999,83099
LouisNazario2,morningmika,13156,74701,52045
ShawnMa26421390,BernardKerik,45267,16980,42509
TozyTerry,Mia78262925,6851,36840,54089
DjfashionLove,TheCosmicSense,4080,2945,58328
AsteriAgency,AarikaSamone,4279,70412,32560
Rising96104403,corynye,7004,60551,45854
bellasouthward1,EricTrump,14713,57404,53571
Prudent11,muadong_2013,12181,73558,48853
cmccbyfaith,CornPopBlues,290,66764,49388
FBeauchard,Jdubsteg,75682,34931,41891
mamiejo1,morningmika,13903,79101,51301
DaveProctor17,cvpayne,54688,5521,32849
56Marylou,EricTrump,14716,74992,53571
RightLax1,EricTrump,14718,12912,53571
ElkenBill,morningmika,13907,48402,51301
RockNRoll761,BuzzPatterson,954,77937,71480
tim_dragoo,DonaldJTrumpJr,17752,561,51975
SallyLa57199765,SebGorka,7471,50991,83099
ojiichan42,BillInkey,157,62523,73249
AMKNIGHT007,morningmika,13604,62847,51606
4nomorenonsense,morningmika,13605,48218,51606
HembG,EricTrump,14722,68830,53571
RampageRantz,SmashingAmps,175,47712,71452
A_Plague_Doctor,BegsAli93,702,7430,65189
DSmasne,AdvHntr,56900,42140,3579
777mhallockgma1,morningmika,13914,5787,51301
CryMeAR76011668,OpossumSausage,7987,56806,76039
Joanie513,JJessy68,5554,47325,86235
carltonio,morningmika,13609,41197,51606
Andrea6Mitchell,davidmweissman,15390,31266,86063
KassandraKitson,EricTrump,14726,301,53571
lawmamaof3girls,morningmika,13171,720,52045
FrankGonRetUSMC,SebGorka,3966,54615,210
GeorgeChisolm3,cvpayne,54699,72508,32849
RonAlderson3,EricTrump,14727,83695,53571
ROWNMI,RWTrollPatrol,6175,70682,71076
DWYBOIM,EricTrump,14729,47426,53571
A_Plague_Doctor,BegsAli93,583,7436,65314
JodiNicol1,EricTrump,14729,77516,53571
Shy_taan,Being_circuit,959,4351,5456
DennisBohannon,EricTrump,14730,80696,53571
CryMeAR76011668,_Dealnodealwww_,48290,56812,69755
TheDonnyDump,morningmika,13920,62773,51301
PaulaCornell8,morningmika,13615,77912,51606
Melissa80074227,DonaldJTrumpJr,17765,2008,51975
BruceForkush,morningmika,13921,42890,51301
dannyxman161,mrszac65,10672,70002,78793
robindavison89,EricTrump,14732,53633,53571
p_joyjones,morningmika,13922,55036,51301
PatriotIdaho,SebGorka,7484,65103,83099
wismiss3,BonniBK,11895,67442,35539
KimiMom3,chanceitup,7052,54200,29835
SeGreene,morningmika,13178,4465,52045
TogetherMakeChg,Liz_Wheeler,52771,66727,22683
BonniBK,emilyinnocent25,1150,47435,38305
JustSayingTrump,DonaldJTrumpJr,17768,72307,51975
SharHues,morningmika,13924,77545,51301
salzer_laura,LoriBlaney,293,68613,77327
JuliaMc29344814,morningmika,13181,48509,52045
A_Plague_Doctor,BegsAli93,320,7443,65584
mahalo8ma,morningmika,13926,65049,51301
bowhuntr25,SebGorka,7489,10118,83099
CW33433,deanomight1,14668,45397,13121
popsczar,Jameski07,5240,44851,35873
HeimTime88,DebraMessing,83684,70765,80700
daxboote2,morningmika,13624,76921,51606
CassieArriaga,DonaldJTrumpJr,17773,4881,51975
WayneBourque57,DonaldJTrumpJr,17769,56633,51975
Denise32960,morningmika,13925,66855,51301
CindyBo83683099,Liz_Wheeler,52778,51064,22683
BananniAnnie,morningmika,13931,58792,51301
RingfordGaming,TalbertSwan,7909,4419,67399
kcinor,SebGorka,3983,86368,210
CherishedSolace,SyS_Config,53186,72577,6713
isensebeauty,EricTrump,14743,77534,53571
shooterz_girl,SaltyDog_58,14112,77934,79920
A_Plague_Doctor,legend_lazarus,284,7451,36658
DonnaLayman6,PatriotJoeAngel,46543,49777,36909
TheOxyCon,DonaldJTrumpJr,17778,64241,51975
TabbyAka,BuzzPatterson,982,5456,71480
naynay1983,morningmika,13630,67844,51606
SawyerSandra,cvpayne,54719,59977,32849
Elizabe43847806,Liz_Wheeler,52784,54093,22683
A_Plague_Doctor,legend_lazarus,308,7454,36637
hootymn,EricTrump,14747,45711,53571
Penny95625413,morningmika,13632,63838,51606
Familyov3,morningmika,68029,53748,83609
ashderhun3,morningmika,13937,54254,51301
Greysean57,DonaldJTrumpJr,17781,61418,51975
Crazeydeafgal,EricTrump,14748,37548,53571
CupplesDaniel,SmashingAmps,201,14670,71452
Lori_J_Drabek,rpool,2922,72088,66642
SteveTarantino1,SebGorka,3990,12665,210
Carolyncorneli8,DonaldJTrumpJr,17783,4408,51975
S_Caruso5,Liz_Wheeler,52787,3238,22683
tintimmymustach,CatholicClinger,42758,60072,37828
popsczar,Danielle34214,9537,44863,86342
PaulaDaly14,Liz_Wheeler,52789,78028,22683
NastyClaudia,morningmika,13637,67866,51606
RobertJWilmot2,SebGorka,7505,71349,83099
jimtom455,jimtom455,448,76870,76422
A_Plague_Doctor,legend_lazarus,219,7461,36733
JoeWhit06413456,soloyochapin,7978,69104,54003
trucknation13,EricTrump,14756,68989,53571
CarrieGarbart,morningmika,13640,2734,51606
M_Victoria35,sparkledocawake,7019,62392,2974
A_Plague_Doctor,legend_lazarus,261,7464,36694
melchizedekwife,JonDougherty10,6613,1669,54933
DottieBarnes1,morningmika,13641,79818,51606
Jahrtt,Liz_Wheeler,52794,69329,22683
DianeC48,davidmweissman,15422,70627,86063
labaldwin70,morningmika,13947,84463,51301
AnnEvan91616731,DonaldJTrumpJr,17791,7006,51975
ElaineTanay,morningmika,13948,4558,51301
CryMeAR76011668,dc2mk2,52170,56841,31498
diptobd2,escapedmatrix,74644,1751,19330
awsedr8,EricTrump,14761,20249,53571
grandmombarby,EricTrump,14761,46588,53571
RadekinKennie,EricTrump,14761,797,53571
RingfordGaming,TalbertSwan,8237,4438,67090
SchulteTodd1,EricTrump,14762,5449,53571
janine917,DonaldJTrumpJr,17796,5540,51975
realpvt,cvpayne,54735,56291,32849
CurJake,morningmika,72455,69494,79198
bruinsfan197,morningmika,13647,27268,51606
Debbytyler60,Atlantiso1,4072,44014,79035
mcghin_l,morningmika,68044,67659,83609
aziaelion,almostjingo,4552,85362,8945
TheGreyWolf1776,Liz_Wheeler,52802,2581,22683
mavhines57,nani_booboo,12614,66280,46421
Clarksearch,morningmika,13650,70175,51606
DonnaJ0406,morningmika,13955,62689,51301
RuthVallenduuk,morningmika,13955,5663,51301
sour97683746,DonaldJTrumpJr,17799,46887,51975
Lois20490492,morningmika,72458,68567,79198
rswest59,EricTrump,14767,71014,53571
4mpulcini,EricTrump,14768,42217,53571
HughTen,jjaus1,21648,83990,42548
RichCat5,DonaldJTrumpJr,17804,53967,51975
bluemoongirlz,Liz_Wheeler,52808,40979,22683
Real_A_R,kat2020maga,10181,7531,77091
Annali222,morningmika,13961,5920,51301
bruinsfan197,ResistMonsters,954,27277,65304
melchorley,SebGorka,7523,60462,83099
p0rkch0p10,EliseStefanik,63022,9298,29674
Leonard_210,DonaldJTrumpJr,17808,8765,51975
cindybatusic,morningmika,13965,10042,51301
EvelinOlsen2014,DonaldJTrumpJr,17810,84337,51975
lilbrezzy07__,SebGorka,7528,23898,83099
317magnolia,morningmika,13223,50664,52045
realpvt,T_S_P_O_O_K_Y,54467,56306,12257
OlonRich,DonaldJTrumpJr,17813,10505,51975
MikeyMerely,CellecV,1433,81915,64303
oUSA_JEDIo,EricTrump,14781,20401,53571
mavhines57,JTmor,13531,66296,52518
marthabilski,morningmika,13227,5791,52045
rockets9394,EricTrump,14782,3855,53571
sidathsaumya,EricTrump,14782,5340,53571
JayDorgs,TalbertSwan,8258,2220,67090
oregontoni,Teresam46396557,56856,84893,32017
tevye,morningmika,13229,76337,52045
Krizzzash,vselvidge,71804,42199,62555
bchgrl40,morningmika,13668,63574,51606
indigoace40,EricTrump,14785,62975,53571
caseybullock18,SebGorka,7536,86170,83099
TomBusiahn,morningmika,13974,61710,51301
LVNancy,SmashingAmps,238,47022,71452
rswest59,DonaldJTrumpJr,17819,71033,51975
Niniyako28,morningmika,13671,68555,51606
kathiandray1,WandS_Headlines,41459,53036,5956
EmilEEEElime,NateManess,1547,7602,2929
ProzialeckLinda,morningmika,72480,64392,79198
tomag49,Qmarksthespot,11133,36095,79513
thetina_marie,morningmika,13978,43050,51301
devdev324,mdjohns5,53136,85287,4302
Gmichael879,morningmika,13978,16621,51301
tiredoffoxlies,morningmika,13979,49617,51301
SusanZgp,SmashingAmps,244,75372,71452
RonaldM37557453,DonaldJTrumpJr,17824,64086,51975
thruthelooking2,sparkledocawake,7055,47401,2974
realeftypickit,morningmika,13676,52549,51606
bluenote74,DjHeermans,2379,61756,80142
NancjamesJames,morningmika,13981,81325,51301
pbi28611687,EagleEdMartin,8917,85616,65032
MDPgoblue,morningmika,13678,74393,51606
LigotRamon,DonaldJTrumpJr,17827,8288,51975
steve_krewson,EricTrump,14794,74204,53571
tomag49,GerryA71,22017,36102,72166
LRrenn,davidwebbshow,3264,61474,53749
ruthinvancouver,WhoseBacon,3609,57844,65892
ldbattlethomas,morningmika,13985,81785,51301
AmyTambone,morningmika,13680,59268,51606
SlingerDoc,JohnTrux,53787,8532,20546
pelfjp,morningmika,13986,43399,51301
Stephie1945,morningmika,13987,60018,51301
nomisthomas,morningmika,13987,29544,51301
sarahsamPs99,sarahsamPs99,20,39902,39882
srbudebultaco3,EricTrump,14799,49986,53571
Flake_Snow_,Being_circuit,1028,4429,5456
sellmofosell,kat2020maga,10209,74034,77091
nickrecchioyah1,WigsGame,49108,81989,67254
TyroneB70229610,morningmika,13245,44298,52045
lauriec79812303,morningmika,13246,57103,52045
CurtisE55235775,EricTrump,14802,1768,53571
mpls55418,yesnicksearcy,3210,1613,62192
RealWiggyPop,EricTrump,14803,4069,53571
VFL2013,SmashingAmps,257,82077,71452
fpoole29,EricTrump,14805,58510,53571
JimKruger7,trinareyes,2964,12652,3252
democrat_sc,RawStory,40320,54063,61245
STAN08181,DonaldJTrumpJr,17838,77719,51975
KweyambaV,EricTrump,14805,23322,53571
ladybugze,Liz_Wheeler,52843,85822,22683
mmeridan4,EricTrump,14806,63349,53571
lakechristar73,KC593,14732,10675,57888
bakerbyaccident,morningmika,13690,73075,51606
SteveDavidMike2,EricTrump,14806,84211,53571
TonyLimaPOL,BenKTallmadge,42638,74123,35919
latigbo,PoliticalShort,5720,84405,52492
SusanT2010RN,SebGorka,7558,34448,83099
sabirmomin86,Rofl_swara_02,34,33950,84404
RioHondoTC,EliseStefanik,63059,84702,29674
markf6666,morningmika,13695,68238,51606
sadmur23,morningmika,13696,57997,51606
nevertrumper00,TalbertSwan,7978,5405,67399
EddieCayce,EricTrump,14815,40060,53571
rcoleman59_rick,Liz_Wheeler,52853,58233,22683
Poncho_Hooch,EliseStefanik,63066,2005,29674
stivers52,DonaldJTrumpJr,17851,46821,51975
T_Bone2332,SebGorka,7569,78820,83099
tayloravalen,DonaldJTrumpJr,17852,50059,51975
WilliamFPeters2,42Gnome,75975,3228,52214
davidpsdem,morningmika,13703,5501,51606
brookecary,morningmika,14008,40596,51301
KimbaGross,Spiritneverdie2,5004,43041,83917
trs5551212,olgaNYC1211,8307,74818,32930
Deborah40695678,Hossantonio,1560,79556,25636
susanjsmith2,manlawroom,1584,14044,77780
IndyCarBoilers,morningmika,14011,80715,51301
samcg_mcgrath,morningmika,13706,51616,51606
Warhumpdy,morningmika,13706,36974,51606
mavhines57,covfefe2020Q,13417,66338,57461
conradjax,morningmika,14012,75443,51301
brpataki,morningmika,14013,40538,51301
mmeridan4,DonaldJTrumpJr,17858,63368,51975
GayeRobinson18,SebGorka,7577,73770,83099
moravec_nikki,EricTrump,14826,14316,53571
WayneArndt3,DonaldJTrumpJr,17859,78512,51975
LindaRo86801001,morningmika,14017,65963,51301
ReformTrump,TalbertSwan,8303,54755,67090
Elizabe03741468,DonaldJTrumpJr,17862,83601,51975
FiercekittyQ,americanjanes,148,60614,53462
ericbreezy,KC593,14755,71796,57888
mmcmartin2,MsJulieLenarz,10319,84670,56926
debbiram,ResistMonsters,553,34379,65763
Joanie513,caireland26,12825,47431,42960
REALKJBENNETT1,davidmweissman,15497,83832,86063
ziggyzig15,EliseStefanik,63082,44209,29674
susanjsmith2,CellecV,1487,14056,64303
BackUpIsHere,EricTrump,14835,9564,53571
timathus,EricTrump,14837,82249,53571
limitlesskait,rjw411,51121,56901,1503
DebbiePonticel2,yesnicksearcy,4027,45480,61410
Oxco01,JTGilgo,45950,17352,72653
SassySouthern10,SmashingAmps,291,41486,71452
LorraineThorp15,morningmika,14028,68843,51301
lpetitt50,morningmika,14029,76021,51301
racouncil,morningmika,14029,74893,51301
mr5706_michael,DanielNewman,10703,72365,42856
frannygirld,DanielNewman,10703,49607,42856
papalou49,morningmika,14030,78175,51301
cb_gobsmack,DonaldJTrumpJr,17874,73646,51975
RonaldM37557453,EricTrump,14841,64136,53571
ATruther4,DonaldJTrumpJr,17874,4777,51975
BobGizzy,morningmika,13726,82885,51606
51ezmunie,morningmika,14031,34834,51301
bring_storm,restartleader,64695,77690,1589
padmasambava07,EricTrump,14844,68126,53571
chriscaruso718,dystopianhell,1057,76400,85447
thatfromanshow,DonaldJTrumpJr,17879,43772,51975
marke74,EricTrump,14846,83213,53571
lulutomtom,BonniBK,12010,80265,35539
R102938475,EricTrump,14848,6005,53571
brianya56245654,EricTrump,14848,20627,53571
JulieForTruth,almostjingo,4638,50611,8945
GrampTorino,BoumtjeBoumtje,3088,57314,82869
DannyV__,DannyV__,190,62,86272
ljpelfrey,DonaldJTrumpJr,17884,49445,51975
adagiopop,morningmika,13297,57401,52045
Jtnnnn,Being_circuit,1082,37194,5456
meltsand,SebGorka,4093,173,210
jhaddad1216,EricTrump,14853,60711,53571
StaceyOIrish,Liz_Wheeler,52891,12197,22683
mjohn55,almostjingo,4643,75724,8945
les_deplorable,mdxzao,49423,67528,51647
devilmaycare42,nancylevine,5967,73542,73524
birdiebelly1,PamelaGeller,19440,78364,32297
ginnyv58,EricTrump,14858,67111,53571
Oxco01,LibbyPander,19782,17373,34727
watters_terri,morningmika,14049,51437,51301
LithuanianRob,lucindalowe,47735,64261,5362
Burner12171131,morningmika,14051,45666,51301
SmashingAmps,RampageRantz,126,71761,47720
ThiaMedia,coot15407127,62586,77040,46025
perfetto_john,DonaldJTrumpJr,17897,76832,51975
VanessaSwinfor1,CornPopBlues,440,8995,49388
liliblancs,DonaldJTrumpJr,17897,58700,51975
SmashingAmps,Luca42755,161,71770,68102
mpeachdorange,morningmika,14054,2618,51301
jboraski55,DTCahill,5833,65985,76831
acomac,morningmika,14055,74153,51301
blueward2323,soloyochapin,8090,34606,54003
Drama_1976,Dehneh1,47941,57772,1611
Oxco01,JGilliam_SEAL,31440,17381,25065
ChrisSchillin72,morningmika,13313,70697,52045
reneestan,acnewsitics,6864,21307,68650
XVetteil,DonaldJTrumpJr,17901,47288,51975
SampleclanKaren,morningmika,14058,47190,51301
msm1939,morningmika,13315,6715,52045
AlphaPatriot3,SebGorka,7622,7411,83099
JC00011,cvpayne,54844,59429,32849
Patricew1221,morningmika,14061,63309,51301
cirbmab,morningmika,14061,76060,51301
LyellBan,rn_gal,15629,5759,76666
LittleLisa1030,AngelGotti5,3525,75193,66553
Dave07082007,morningmika,13318,64944,52045
stivers52,EliseStefanik,63123,46877,29674
XVetteil,KAGlatino,11111,47296,42507
spsnc,morningmika,14065,62147,51301
kristiecannon,morningmika,14065,73073,51301
jimmypatriot2,CornPopBlues,453,60929,49388
Oxco01,justin_sightes,47678,17391,1925
popsczar,donie,10048,44989,72936
ChiefB_OG,EliseStefanik,63126,52242,29674
suzy_QAnon,DonaldJTrumpJr,17912,12312,51975
jmaher620,morningmika,14068,79075,51301
daytimeviewer3,EricTrump,14880,21682,53571
madeinpoland12,DonaldJTrumpJr,17913,74024,51975
marke74,DonaldJTrumpJr,17913,83247,51975
tinyboo49,Thomas_F_McHugh,48236,84799,78803
TyroneB70229610,Txredhead1108,11854,44379,42002
BEARDY4LIFE,EricTrump,14881,55926,53571
mariapdotcom,EliseStefanik,63131,58313,29674
ErinSnider10,davidmweissman,15546,58664,86063
mbt_Keebs,almostjingo,4671,7887,8945
chrisvfindlater,elonmusk,26841,55042,47013
Kitsune2221,LoraleiVance,732,50451,61731
PoliticRealitic,morningmika,14072,50587,51301
VolFan397,DonaldJTrumpJr,17917,57817,51975
RichardKruger4,morningmika,13329,73055,52045
chysalis01,RampageRantz,155,76290,47720
JohnCFischer1,SebGorka,7636,14362,83099
momosscoc,morningmika,13769,48996,51606
America16620222,BernardKerik,45441,12343,42509
Cougar6666,cvpayne,54858,32494,32849
chadlynchNE,rubymoongoddess,90,8894,15383
JorEl16,morningmika,13770,3765,51606
DTCahill,DTCahill,5853,82684,76831
Oxco01,MemoAbboud,53090,17400,26887
Mamacit53944068,socalaura,7716,18397,40194
HWDConservative,SmashingAmps,340,74717,71452
googlefacej,morningmika,13771,5473,51606
GeorgieCheva5,SebGorka,7639,8637,83099
FormerPitcher,DonaldJTrumpJr,17921,70750,51975
FlashingFinn,Liz_Wheeler,52925,33090,22683
sturgeonbay111,davidmweissman,15553,45600,86063
GGrandmag73,dccdegruijter,51649,76270,58093
im4jesus79,morningmika,14078,63232,51301
CynthiaDowlen,morningmika,13334,2642,52045
bryy771,EricTrump,14889,81943,53571
emfl49,morningmika,14079,910,51301
wigone1,Blondie55Plus,28062,5932,38332
LLGuerra101,morningmika,14081,58860,51301
les_deplorable,VickieLFisher,43897,67564,75289
routeofthesun,morningmika,14082,59102,51301
elric_olalekan,nigigebi,13843,1952,66891
edmiester,LegionBobo,5867,85918,47729
CryMeAR76011668,BlackIrishI,20377,56975,64844
reneestan,rewegreatyet,7085,21333,52093
SharonFleck,morningmika,13779,4054,51606
MijanovicBlanka,EricTrump,14896,3843,53571
Mary_belleGR,radiofanatica_,57705,61490,4679
MiLick74,k9ranger_king,52203,56239,70426
Oxco01,BuzzPatterson,1133,17411,71480
elyse4design,TalbertSwan,8372,68086,67090
DianeBMorrison,edseibold,14871,81044,28773
MslillieMaga,SebGorka,4138,83248,210
cdrich2,FordJohnathan5,567,66438,52048
reneestan,swanny31176,7150,21338,29046
spsnc,morningmika,13783,62170,51606
TeresaCorte3,morningmika,14089,10996,51301
CryMeAR76011668,BongBong,49918,56982,10903
dean_stratten,morningmika,13348,25969,52045
bowiestardust2,morningmika,14093,6329,51301
Oxco01,yesnicksearcy,3312,17418,62192
rcoleman59_rick,EricTrump,14905,58322,53571
RacerofSpeed2,Liz_Wheeler,52942,60968,22683
74448e879e97412,DonaldJTrumpJr,17938,58499,51975
CryMeAR76011668,Phild2400,47376,56987,80877
dougiepen,morningmika,13790,70889,51606
suthernangel2,4evanyr,16313,45940,38525
3goldendogs,morningmika,14098,2790,51301
momsomeness,Relic_USA,33128,81817,51580
MaryEllen3399,dbongino,64281,14596,18148
pam_sands,SmashingAmps,364,7655,71452
MicksMan9,DonaldJTrumpJr,17944,51906,51975
Rosemar91566871,SebGorka,7663,55957,83099
SteelHillVol,Debber66,47447,57107,52795
dhrocco,morningmika,14101,56175,51301
janetmccoy51,SebGorka,7664,80632,83099
LRflores5,EricTrump,14913,75324,53571
lastchance4usa,almostjingo,4702,1876,8945
Sallyevens2,DonaldJTrumpJr,17946,79900,51975
shell0222,morningmika,72606,14359,79198
sabo_brett,morningmika,14103,69019,51301
StevenHell1,Liz_Wheeler,52952,56996,22683
pawdebb,morningmika,14104,41434,51301
goofballgeorge,TheSheilaG2020,4423,35195,68397
GreigeUSA,morningmika,13361,11719,52045
